Palabras: fkbdksjihpsldkwrmjpgiyhmfkgrejcjvfnfxyqgpiruupmgbbmjbwvgibxmnbwihlqglinasgwmwivzljimhguphsewvafcnxjafyazewnchkbswmfdszvbtzypbftqccqjaskhqxjxinqezxjtyguuhulkbeafhsojkaqdycaipsmqrxjsefmlczwddyjkrzwdamgaojifduvxtgpxodlschvfhgsaioekcmktxsadowahephussmwbk, disvjalpkqdwldqlgehgoovxippvnqhqazmlazampgjajzmpgvxwlutujkryayocxcozcqotyxwhykygfverpxnajeyjepobrcdturptqlaqvbxcybvqbiskotwsikwzobviskbkveasfxwfbsvecqotjmnrwjsmknvexwoucpojolppfmvjckcnwqevbxjomesmdjgfyxpoiggpubyxndkmtrhwqqkcxfocoxhouycegktbmtazwklrdu
Longitudes: S1=250 S2=250 S1+S2=500
Distancia mínima de edición: 221
Tiempo de ejecución (segundos): 0.00297787
Operaciones necesarias para la distancia mínima de edición:
Eliminación en posición 0 de f | Costo: 1
Eliminación en posición 1 de k | Costo: 1
Eliminación en posición 2 de b | Costo: 1
Sustitución en posición 4: k -> i | Costo: 1
Inserción en posición 3 de v | Costo: 1
Sustitución en posición 7: i -> a | Costo: 1
Sustitución en posición 8: h -> l | Costo: 1
Sustitución en posición 10: s -> k | Costo: 1
Sustitución en posición 11: l -> q | Costo: 1
Eliminación en posición 13 de k | Costo: 1
Sustitución en posición 15: r -> l | Costo: 1
Sustitución en posición 16: m -> d | Costo: 1
Sustitución en posición 17: j -> q | Costo: 1
Sustitución en posición 18: p -> l | Costo: 1
Eliminación en posición 20 de i | Costo: 1
Sustitución en posición 21: y -> e | Costo: 1
Eliminación en posición 23 de m | Costo: 1
Sustitución en posición 24: f -> g | Costo: 1
Sustitución en posición 25: k -> o | Costo: 1
Sustitución en posición 26: g -> o | Costo: 1
Sustitución en posición 27: r -> v | Costo: 1
Sustitución en posición 28: e -> x | Costo: 1
Sustitución en posición 29: j -> i | Costo: 1
Sustitución en posición 30: c -> p | Costo: 1
Sustitución en posición 31: j -> p | Costo: 1
Eliminación en posición 33 de f | Costo: 1
Eliminación en posición 35 de f | Costo: 1
Sustitución en posición 36: x -> q | Costo: 1
Sustitución en posición 37: y -> h | Costo: 1
Sustitución en posición 39: g -> a | Costo: 1
Sustitución en posición 40: p -> z | Costo: 1
Sustitución en posición 41: i -> m | Costo: 1
Sustitución en posición 42: r -> l | Costo: 1
Sustitución en posición 43: u -> a | Costo: 1
Sustitución en posición 44: u -> z | Costo: 1
Sustitución en posición 45: p -> a | Costo: 1
Sustitución en posición 47: g -> p | Costo: 1
Sustitución en posición 48: b -> g | Costo: 1
Sustitución en posición 49: b -> j | Costo: 1
Sustitución en posición 50: m -> a | Costo: 1
Sustitución en posición 52: b -> z | Costo: 1
Sustitución en posición 53: w -> m | Costo: 1
Sustitución en posición 54: v -> p | Costo: 1
Eliminación en posición 56 de i | Costo: 1
Sustitución en posición 57: b -> v | Costo: 1
Eliminación en posición 59 de m | Costo: 1
Eliminación en posición 60 de n | Costo: 1
Eliminación en posición 61 de b | Costo: 1
Sustitución en posición 63: i -> l | Costo: 1
Sustitución en posición 64: h -> u | Costo: 1
Sustitución en posición 65: l -> t | Costo: 1
Sustitución en posición 66: q -> u | Costo: 1
Sustitución en posición 67: g -> j | Costo: 1
Sustitución en posición 68: l -> k | Costo: 1
Sustitución en posición 69: i -> r | Costo: 1
Sustitución en posición 70: n -> y | Costo: 1
