(tamaño S1+S2, memoria_total [bytes])
(2, 118564)
(3, 118564)
(4, 118564)
(5, 118564)
(6, 118564)
(7, 118564)
(8, 118564)
(9, 118564)
(10, 118564)
(11, 118564)
(12, 118564)
(13, 118564)
(14, 118564)
(15, 118564)
(16, 118564)
(17, 118581)
(18, 118582)
(19, 118583)
(20, 118584)
(21, 118585)
(22, 118586)
(23, 118587)
(24, 118588)
(25, 118589)
(26, 118590)
(27, 118591)
(28, 118592)
(29, 118593)
(30, 118594)
(31, 118595)
(32, 118596)
(33, 118597)
(34, 118598)
(35, 118599)
(36, 118600)
(37, 118601)
(38, 118602)
(39, 118603)
(40, 118604)
(41, 118605)
