(tamaño S1+S2, memoria_total [bytes])
(1, 79776)
(2, 79776)
(3, 79776)
(4, 79776)
(5, 79776)
(6, 79776)
(7, 79776)
(8, 79776)
(9, 79776)
(10, 79776)
(11, 79776)
(12, 79776)
(13, 79776)
(14, 79776)
(15, 79776)
(16, 79776)
(17, 79776)
(18, 79776)
(19, 79776)
(20, 79776)
(21, 79776)
(22, 79776)
(23, 79776)
(24, 79776)
(25, 79776)
(26, 79776)
(27, 79776)
(28, 79776)
(29, 79776)
(30, 79776)
(31, 79776)
(32, 79776)
(33, 79776)
(34, 79776)
(35, 79776)
(36, 79776)
(37, 79776)
(38, 79776)
(39, 79776)
(40, 79776)
